Player,Team,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated...13,ASTAdj,AST ToPass%,AST ToPass% Adj,game_date
Aaron Brooks,CHI,1,1,0,15.5,17,27,0,0,3,1,1,0,5.9,10%2F27%2F2015
Al Horford,ATL,1,0,1,30.2,50,48,4,0,8,11,5,8,10,10%2F27%2F2015
Alexis Ajinca,NOP,1,0,1,16.9,17,15,0,0,0,0,0,0,0,10%2F27%2F2015
Alonzo Gee,NOP,1,0,1,26.9,22,16,1,1,1,2,2,4.5,9.1,10%2F27%2F2015
Anderson Varejao,GSW,1,0,1,11.6,17,14,0,0,3,0,0,0,0,10%2F27%2F2015
Andre Drummond,DET,1,1,0,37.2,25,25,3,0,7,7,3,12,12,10%2F27%2F2015
Andre Iguodala,GSW,1,1,0,23.4,34,30,3,3,7,7,6,8.8,17.6,10%2F27%2F2015
Andrew Bogut,GSW,1,1,0,18.7,30,28,5,0,8,11,5,16.7,16.7,10%2F27%2F2015
Anthony Davis,NOP,1,0,1,34.5,38,49,2,0,3,5,2,5.3,5.3,10%2F27%2F2015
Aron Baynes,DET,1,1,0,10.9,10,10,0,0,2,0,0,0,0,10%2F27%2F2015
Brandon Rush,GSW,1,1,0,1.7,0,0,0,0,0,0,0,0,0,10%2F27%2F2015
Dante Cunningham,NOP,1,0,1,26.5,25,17,0,1,0,0,1,0,4,10%2F27%2F2015
Dennis Schroder,ATL,1,0,1,25.4,53,63,4,1,10,11,5,7.5,9.4,10%2F27%2F2015
Derrick Rose,CHI,1,1,0,32.5,49,70,5,0,8,12,5,10.2,10.2,10%2F27%2F2015
Doug McDermott,CHI,1,1,0,16.2,14,13,0,0,3,0,0,0,0,10%2F27%2F2015
Draymond Green,GSW,1,1,0,29.4,46,37,2,2,7,11,6,4.3,13,10%2F27%2F2015
E'Twaun Moore,CHI,1,1,0,14.4,17,20,1,0,5,3,1,5.9,5.9,10%2F27%2F2015
Eric Gordon,NOP,1,0,1,33.5,32,43,4,1,8,11,6,12.5,18.8,10%2F27%2F2015
Ersan Ilyasova,ORL,1,1,0,34.4,53,48,3,0,4,6,3,5.7,5.7,10%2F27%2F2015
Festus Ezeli,GSW,1,1,0,17,17,18,1,0,2,3,1,5.9,5.9,10%2F27%2F2015
Harrison Barnes,GSW,1,1,0,32.7,42,34,3,0,8,4,2,7.1,4.8,10%2F27%2F2015
Ish Smith,PHI,1,0,1,38,82,87,9,1,17,22,11,11,13.4,10%2F27%2F2015
JR Smith,CLE,1,0,1,30.5,27,33,3,0,6,10,4,11.1,14.8,10%2F27%2F2015
James Jones,CLE,1,0,1,3.8,4,3,0,0,0,0,0,0,0,10%2F27%2F2015
James Michael McAdoo,GSW,1,1,0,2.5,2,0,0,0,0,0,0,0,0,10%2F27%2F2015
